GCAM_sector,GCAM_subsector,Output_Sector,Regional
airCO2,,Energy Sector|Harmonized-DB,1
H2 central production,,Energy Sector|Harmonized-DB,1
H2 forecourt production,,Energy Sector|Harmonized-DB,1
N fertilizer,,Industrial Sector|Harmonized-DB,1
comm heating,,Residential Commercial Other|Harmonized-DB,1
comm others,,Residential Commercial Other|Harmonized-DB,1
electricity,,Energy Sector|Harmonized-DB,1
backup_electricity,,Energy Sector|Harmonized-DB,1
csp_backup,,Energy Sector|Harmonized-DB,1
elec_biomass (IGCC),,Energy Sector|Harmonized-DB,1
elec_biomass (conv),,Energy Sector|Harmonized-DB,1
elec_coal (IGCC),,Energy Sector|Harmonized-DB,1
elec_coal (conv pul),,Energy Sector|Harmonized-DB,1
elec_gas (CC),,Energy Sector|Harmonized-DB,1
elec_gas (steam/CT),,Energy Sector|Harmonized-DB,1
elec_refined liquids (CC),,Energy Sector|Harmonized-DB,1
elec_refined liquids (steam/CT),,Energy Sector|Harmonized-DB,1
electricity_net_ownuse,,Energy Sector|Harmonized-DB,1
elec_biomass (IGCC CCS),,Energy Sector|Harmonized-DB,1
elec_biomass (conv CCS),,Energy Sector|Harmonized-DB,1
elec_coal (IGCC CCS),,Energy Sector|Harmonized-DB,1
elec_coal (conv pul CCS),,Energy Sector|Harmonized-DB,1
elec_gas (CC CCS),,Energy Sector|Harmonized-DB,1
elec_refined liquids (CC CCS),,Energy Sector|Harmonized-DB,1
industrial processes,,Industrial Sector|Harmonized-DB,1
industrial energy use,,Industrial Sector|Harmonized-DB,1
industrial feedstocks,,Industrial Sector|Harmonized-DB,1
process heat dac,,Industrial Sector|Harmonized-DB,1
process heat cement,,Industrial Sector|Harmonized-DB,1
cement,,Industrial Sector|Harmonized-DB,1
refining,,Energy Sector|Harmonized-DB,1
gas processing,,Energy Sector|Harmonized-DB,1
regional biomass,,Energy Sector|Harmonized-DB,1
regional biomassOil,,Energy Sector|Harmonized-DB,1
regional corn for ethanol,,Energy Sector|Harmonized-DB,1
gas pipeline,,Energy Sector|Harmonized-DB,1
regional sugar for ethanol,,Energy Sector|Harmonized-DB,1
resid heating,,Residential Commercial Other|Harmonized-DB,1
resid others,,Residential Commercial Other|Harmonized-DB,1
trn_freight,,Transportation Sector|Harmonized-DB,1
trn_freight_road,,Transportation Sector|Harmonized-DB,1
trn_pass,,Transportation Sector|Harmonized-DB,1
trn_pass_road,,Transportation Sector|Harmonized-DB,1
trn_pass_road_LDV,,Transportation Sector|Harmonized-DB,1
trn_pass_road_LDV_4W,,Transportation Sector|Harmonized-DB,1
comm cooling,,Residential Commercial Other|Harmonized-DB,1
district heat,,Energy Sector|Harmonized-DB,1
resid cooling,,Residential Commercial Other|Harmonized-DB,1
urban processes,,Waste|Harmonized-DB,1
AGR,,Agriculture|Harmonized-DB,1
AWB,,Agricultural Waste Burning|Harmonized-DB,1
industrial processes,solvents,Solvents Production and Application|Harmonized-DB,1
UnmanagedLand,ForestFire,Forest Burning|Harmonized-DB,1
UnmanagedLand,GrasslandFires,Grassland Burning|Harmonized-DB,1
UnmanagedLand,Deforest,Forest Burning|Harmonized-DB,1
trn_pass,Domestic Aviation,Aircraft|Harmonized-DB,1
trn_aviation_intl,,Aircraft|Harmonized-DB,0
trn_shipping_intl,,International Shipping|Harmonized-DB,0
